#"Progress (%)"	"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"	"Elapsed Time (s)"	"Time Remaining"
18.6%	465000	929.9999999918322	-336279.4769370226	9345.332929661483	-326934.1440073611	293.85199166794195	27.20054855269815	1.21169709525253	531	149.73389077186584	11:02
18.8%	470000	939.9999999915957	-336262.6765235053	9657.974902327705	-326604.7016211776	303.682616969195	27.24577787386207	1.2096856189302796	531	151.36009001731873	11:00
19.0%	475000	949.9999999913592	-336156.99836911063	9704.931880953534	-326452.0664881571	305.1591188547634	27.143370837796056	1.2142495443007366	531	152.9896116256714	10:59
19.2%	480000	959.9999999911228	-336404.06917948613	9509.304850725232	-326894.7643287609	299.0078781350008	27.07760895033634	1.2171985248413288	531	154.62151503562927	10:57
19.4%	485000	969.9999999908863	-336105.83843414485	9500.534834210755	-326605.3035999341	298.73211622912373	27.07852977947921	1.217157132938465	531	156.25226378440857	10:55
19.6%	490000	979.9999999906498	-336179.7642879272	9508.87126095273	-326670.89302697446	298.9942444614682	27.18071192052049	1.2125813984179346	531	157.88441610336304	10:54
19.8%	495000	989.9999999904134	-336227.543538066	9536.779597465047	-326690.7639406009	299.8717862601402	27.158428279570714	1.2135763281769976	531	159.51231002807617	10:52
20.0%	500000	999.9999999901769	-336410.2912718116	9517.783266208164	-326892.50800560345	299.2744710209472	26.994378421705814	1.2209514572144404	531	161.1868236064911	10:51
20.2%	505000	1009.9999999899404	-336506.1175492335	9667.969698678433	-326838.1478505551	303.996890504026	26.995608177152143	1.2208958381043111	531	162.82882046699524	10:49
20.4%	510000	1019.999999989704	-336214.5213020932	9585.24653633899	-326629.27476575423	301.3957669064533	26.988189604986403	1.2212314406035671	531	164.45790314674377	10:48
20.6%	515000	1029.9999999894676	-336320.07742909837	9723.983757346776	-326596.0936717516	305.758180639432	27.01258114442659	1.2201287057449537	531	166.09136605262756	10:46
20.8%	520000	1039.9999999892311	-336401.12184188206	9779.463690353736	-326621.65815152833	307.50267587939874	27.01258114442659	1.2201287057449537	531	167.73769450187683	10:44
21.0%	525000	1049.9999999889947	-336320.5206765268	9598.229686136365	-326722.29099039047	301.8040053774416	27.148488100958744	1.2140206684075283	531	169.37139177322388	10:43
21.2%	530000	1059.9999999887582	-336174.889852446	9256.220944559149	-326918.66890788684	291.04997974381956	27.136287005233193	1.214566519886221	531	171.00539112091064	10:41
21.4%	535000	1069.9999999885217	-336389.18094597186	9697.078054583564	-326692.1028913883	304.912165371308	27.103654962817767	1.2160288240015755	531	172.63692259788513	10:40
21.6%	540000	1079.9999999882853	-336443.55183139764	9301.61340938791	-327141.9384220097	292.47728750235996	27.150937108823975	1.2139111640411204	530	174.26669192314148	10:38
21.8%	545000	1089.9999999880488	-336297.6833010678	9555.334473649476	-326742.3488274183	300.4552205115451	27.093342593558415	1.216491673434783	530	175.8966875076294	10:36
22.0%	550000	1099.9999999878123	-336226.49767258775	9418.798684715988	-326807.69898787176	296.16202798282126	27.100216122039747	1.2161831301328772	530	177.56886744499207	10:35
22.2%	555000	1109.9999999875758	-336386.06554895354	9498.505639935187	-326887.55990901834	298.66831082124315	27.14267096508508	1.2142808536778227	530	179.21031665802002	10:33
22.4%	560000	1119.9999999873394	-336496.578255099	9642.119996523796	-326854.45825857524	303.1840798188064	27.176616410330226	1.212764134171303	530	180.83936762809753	10:32
22.6%	565000	1129.999999987103	-336417.43624267785	9372.141447510481	-327045.2947951674	294.69495108125403	27.149651382638787	1.2139686512385837	530	182.47133541107178	10:30
22.8%	570000	1139.9999999868664	-336379.492170895	9198.19930573941	-327181.29286515556	289.22556382890843	27.07836999361393	1.217164315221066	530	184.10112142562866	10:28
23.0%	575000	1149.99999998663	-336306.8450215675	9597.863005255462	-326708.982016312	301.79247556807354	27.07836999361393	1.217164315221066	530	185.734961271286	10:27
23.2%	580000	1159.9999999863935	-336421.4094122471	9503.593780411415	-326917.8156318357	298.828300863768	27.034160661444833	1.2191547606500865	530	187.36824011802673	10:25
23.4%	585000	1169.999999986157	-336446.5700864641	9455.05208196639	-326991.51800449775	297.30196949875676	27.05486061182956	1.2182219728816022	530	189.01066851615906	10:24
23.6%	590000	1179.9999999859206	-336254.3606920957	9616.50344929942	-326637.8572427963	302.37860039092567	26.98249977862314	1.2214889628829482	530	190.64252305030823	10:22
23.8%	595000	1189.999999985684	-336481.3920189286	9540.954916577202	-326940.4371023514	300.0030738072175	26.94109782147488	1.223366096251212	530	192.27435684204102	10:20
