zinc_id,gene_name,gene_name,affinity
ZINC000253635907,POL,POL,9.74
ZINC000253635911,POL,POL,9.74
ZINC000253635914,POL,POL,9.74
ZINC000003941127,POL,POL,9.72
ZINC000014946337,POL,POL,9.72
ZINC000026162995,POL,POL,9.72
ZINC000026377052,POL,POL,9.72
ZINC000026380032,POL,POL,9.72
ZINC000026395418,POL,POL,9.72
ZINC000026741878,POL,POL,9.72
ZINC000026822596,POL,POL,9.72
ZINC000026852137,POL,POL,9.72
ZINC000027073138,POL,POL,9.72
ZINC000027518196,POL,POL,9.72
ZINC000027518197,POL,POL,9.72
ZINC000027518198,POL,POL,9.72
ZINC000027518199,POL,POL,9.72
ZINC000027657999,POL,POL,9.72
ZINC000028465431,POL,POL,9.72
ZINC000049720332,POL,POL,9.72
ZINC000095540239,POL,POL,9.72
ZINC000100781745,POL,POL,9.72
ZINC000100781757,POL,POL,9.72
ZINC000100828234,POL,POL,9.72
ZINC000253791587,POL,POL,9.72
ZINC000253791597,POL,POL,9.72
ZINC000026673517,POL,POL,9.70
ZINC000026728409,POL,POL,9.70
ZINC000026732330,POL,POL,9.70
ZINC000026736388,POL,POL,9.70
ZINC000027202593,POL,POL,9.70
ZINC000027655896,POL,POL,9.70
ZINC000028370951,POL,POL,9.70
ZINC000028370958,POL,POL,9.70
ZINC000029249750,POL,POL,9.70
ZINC000029405091,POL,POL,9.70
ZINC000029405094,POL,POL,9.70
ZINC000029412754,POL,POL,9.70
ZINC000029412757,POL,POL,9.70
ZINC000029414151,POL,POL,9.70
ZINC000029414154,POL,POL,9.70
ZINC000095545751,POL,POL,9.70
ZINC000095545757,POL,POL,9.70
ZINC000095545803,POL,POL,9.70
ZINC000095546427,POL,POL,9.70
ZINC000095610519,POL,POL,9.70
ZINC000100040606,POL,POL,9.70
ZINC000100040607,POL,POL,9.70
ZINC000100040609,POL,POL,9.70
ZINC000100040612,POL,POL,9.70
ZINC000100763647,POL,POL,9.70
ZINC000100763650,POL,POL,9.70
ZINC000100781647,POL,POL,9.70
ZINC000100781659,POL,POL,9.70
ZINC000100987441,POL,POL,9.70
ZINC000253688317,POL,POL,9.70
ZINC000253688332,POL,POL,9.70
ZINC000253688343,POL,POL,9.70
ZINC000253688359,POL,POL,9.70
ZINC000253690554,POL,POL,9.70
ZINC000253690564,POL,POL,9.70
ZINC000014908100,POL,POL,9.68
ZINC000014943282,POL,POL,9.68
ZINC000026380035,POL,POL,9.68
ZINC000026493670,POL,POL,9.68
ZINC000027989199,POL,POL,9.68
ZINC000038155900,POL,POL,9.68
ZINC000095545534,POL,POL,9.68
ZINC000095608236,POL,POL,9.68
ZINC000014908117,POL,POL,9.66
ZINC000014908123,POL,POL,9.66
ZINC000014943278,POL,POL,9.66
ZINC000026487637,POL,POL,9.66
ZINC000026740906,POL,POL,9.66
ZINC000049708099,POL,POL,9.66
ZINC000085533241,POL,POL,9.66
ZINC000095544617,POL,POL,9.66
ZINC000095546425,POL,POL,9.66
ZINC000095612160,POL,POL,9.66
ZINC000195374853,POL,POL,9.66
ZINC000003833842,POL,POL,9.64
ZINC000003833858,POL,POL,9.64
ZINC000003860156,POL,POL,9.64
ZINC000003925380,POL,POL,9.64
ZINC000014943270,POL,POL,9.64
ZINC000014951377,POL,POL,9.64
ZINC000026478979,POL,POL,9.64
ZINC000026491058,POL,POL,9.64
ZINC000026571964,POL,POL,9.64
ZINC000026822586,POL,POL,9.64
ZINC000027517506,POL,POL,9.64
ZINC000027517507,POL,POL,9.64
ZINC000027623886,POL,POL,9.64
ZINC000027623891,POL,POL,9.64
ZINC000027768463,POL,POL,9.64
ZINC000043315966,POL,POL,9.63
ZINC000003941496,POL,POL,9.62
ZINC000013782664,POL,POL,9.62
ZINC000014907365,POL,POL,9.62
ZINC000014943392,POL,POL,9.62
ZINC000014945775,POL,POL,9.62
ZINC000026389544,POL,POL,9.62
ZINC000026395497,POL,POL,9.62
ZINC000026969016,POL,POL,9.62
ZINC000028359972,POL,POL,9.62
ZINC000028382945,POL,POL,9.62
ZINC000028382952,POL,POL,9.62
ZINC000028770499,POL,POL,9.62
ZINC000029486084,POL,POL,9.62
ZINC000038146822,POL,POL,9.62
ZINC000049776386,POL,POL,9.62
